# Block,TrialType,Arrow,Response,leftSSD,rightSSD,ACC,RT
   3,   0,   1,   1, 300, 250,   1, 436
   3,   0,   2,   2, 300, 250,   1, 429
   3,   0,   1,   1, 300, 250,   1, 514
   3,   0,   2,   2, 300, 250,   1, 571
   3,   1,   1,   1, 250, 250,   4, 500
   3,   1,   2,   2, 250, 200,   4, 444
   3,   1,   2,   0, 250, 250,   3,   0
   3,   0,   2,   2, 250, 250,   1, 384
   3,   1,   1,   1, 200, 250,   4, 400
   3,   0,   2,   2, 200, 250,   1, 380
   3,   0,   2,   2, 200, 250,   1, 422
   3,   0,   2,   2, 200, 250,   1, 487
   3,   1,   2,   2, 200, 200,   4, 410
   3,   0,   1,   1, 200, 200,   1, 486
   3,   1,   1,   0, 250, 200,   3,   0
   3,   0,   1,   1, 250, 200,   1, 393
   3,   0,   1,   1, 250, 200,   1, 518
   3,   0,   2,   2, 250, 200,   1, 392
   3,   1,   1,   1, 200, 200,   4, 431
   3,   0,   1,   1, 200, 200,   1, 437
   3,   0,   2,   2, 200, 200,   1, 456
   3,   1,   2,   0, 200, 250,   3,   0
   3,   0,   1,   1, 200, 250,   1, 432
   3,   0,   1,   1, 200, 250,   1, 476
   3,   0,   2,   2, 200, 250,   1, 454
   3,   0,   2,   2, 200, 250,   1, 506
   3,   0,   1,   1, 200, 250,   1, 459
   3,   1,   1,   0, 250, 250,   3,   0
   3,   0,   2,   2, 250, 250,   1, 438
   3,   0,   1,   1, 250, 250,   1, 447
   3,   1,   1,   0, 300, 250,   3,   0
   3,   0,   1,   1, 300, 250,   1, 440
   3,   0,   1,   1, 300, 250,   1, 497
   3,   1,   2,   2, 300, 200,   4, 395
   3,   0,   2,   2, 300, 200,   1, 532
   3,   1,   2,   0, 300, 250,   3,   0
   3,   0,   1,   1, 300, 250,   1, 440
   3,   0,   2,   2, 300, 250,   1, 514
   3,   0,   1,   1, 300, 250,   1, 486
   3,   1,   1,   1, 250, 250,   4, 416
   3,   0,   2,   2, 250, 250,   1, 417
   3,   1,   2,   0, 250, 300,   3,   0
   3,   1,   1,   0, 300, 300,   3,   0
   3,   0,   2,   2, 300, 300,   1, 476
   3,   1,   2,   2, 300, 250,   4, 446
   3,   0,   1,   1, 300, 250,   1, 370
   3,   0,   2,   2, 300, 250,   1, 442
   3,   0,   1,   1, 300, 250,   1, 478
   3,   1,   2,   2, 300, 200,   4, 433
   4,   0,   1,   1, 300, 200,   1, 338
   4,   0,   2,   2, 300, 200,   1, 320
   4,   0,   1,   1, 300, 200,   1, 399
   4,   0,   1,   1, 300, 200,   1, 449
   4,   0,   2,   2, 300, 200,   1, 492
   4,   0,   2,   2, 300, 200,   1, 422
   4,   1,   1,   1, 250, 200,   4, 456
   4,   1,   1,   0, 300, 200,   3,   0
   4,   0,   2,   2, 300, 200,   1, 404
   4,   0,   2,   2, 300, 200,   1, 501
   4,   0,   2,   2, 300, 200,   1, 478
   4,   1,   2,   0, 300, 250,   3,   0
   4,   1,   1,   0, 350, 250,   3,   0
   4,   0,   1,   1, 350, 250,   1, 435
   4,   0,   1,   1, 350, 250,   1, 478
   4,   0,   1,   1, 350, 250,   1, 367
   4,   1,   1,   1, 300, 250,   4, 436
   4,   1,   2,   2, 300, 200,   4, 366
   4,   0,   2,   2, 300, 200,   1, 482
   4,   0,   2,   2, 300, 200,   1, 439
   4,   1,   1,   1, 250, 200,   4, 452
   4,   0,   1,   1, 250, 200,   1, 453
   4,   0,   2,   2, 250, 200,   1, 509
   4,   1,   2,   2, 250, 150,   4, 389
   4,   0,   1,   1, 250, 150,   1, 529
   4,   0,   1,   1, 250, 150,   1, 447
   4,   1,   1,   0, 300, 150,   3,   0
   4,   1,   1,   1, 250, 150,   4, 429
   4,   1,   1,   0, 300, 150,   3,   0
   4,   0,   1,   1, 300, 150,   1, 472
   4,   1,   2,   0, 300, 200,   3,   0
   4,   0,   2,   2, 300, 200,   1, 475
   4,   1,   2,   0, 300, 250,   3,   0
   4,   0,   2,   2, 300, 250,   1, 451
   4,   1,   2,   2, 300, 200,   4, 446
   4,   0,   1,   1, 300, 200,   1, 503
   4,   0,   1,   1, 300, 200,   1, 472
   4,   1,   2,   0, 300, 250,   3,   0
   4,   1,   1,   1, 250, 250,   4, 498
   4,   0,   2,   2, 250, 250,   1, 467
   4,   0,   1,   1, 250, 250,   1, 366
   4,   0,   1,   1, 250, 250,   1, 497
   4,   0,   2,   2, 250, 250,   1, 362
   4,   1,   2,   2, 250, 200,   4, 381
   4,   0,   2,   2, 250, 200,   1, 402
   4,   0,   2,   2, 250, 200,   1, 390
   4,   0,   2,   2, 250, 200,   1, 370
   4,   0,   1,   1, 250, 200,   1, 404
   4,   0,   2,   2, 250, 200,   1, 396
   4,   0,   1,   1, 250, 200,   1, 393
   4,   1,   2,   2, 250, 150,   4, 391
   4,   1,   1,   1, 200, 150,   4, 390
   4,   0,   2,   2, 200, 150,   1, 388
   4,   0,   1,   1, 200, 150,   1, 401
   4,   0,   1,   1, 200, 150,   1, 429
   4,   1,   2,   0, 200, 200,   3,   0
   4,   0,   1,   1, 200, 200,   1, 474
   4,   0,   2,   2, 200, 200,   1, 454
   4,   0,   1,   1, 200, 200,   1, 453
   4,   0,   2,   2, 200, 200,   1, 492
   5,   0,   1,   1, 200, 200,   1, 477
   5,   0,   1,   1, 200, 200,   1, 388
   5,   0,   1,   1, 200, 200,   1, 414
   5,   0,   1,   1, 200, 200,   1, 477
   5,   1,   1,   0, 250, 200,   3,   0
   5,   1,   1,   1, 200, 200,   4, 425
   5,   0,   1,   1, 200, 200,   1, 446
   5,   0,   1,   1, 200, 200,   1, 416
   5,   0,   1,   1, 200, 200,   1, 409
   5,   1,   1,   0, 250, 200,   3,   0
   5,   0,   1,   1, 250, 200,   1, 414
   5,   1,   1,   1, 200, 200,   4, 419
   5,   0,   2,   2, 200, 200,   1, 432
   5,   0,   2,   2, 200, 200,   1, 471
   5,   0,   2,   2, 200, 200,   1, 454
   5,   0,   2,   2, 200, 200,   1, 413
   5,   0,   2,   2, 200, 200,   1, 434
   5,   0,   2,   2, 200, 200,   1, 406
   5,   0,   2,   2, 200, 200,   1, 494
   5,   0,   1,   1, 200, 200,   1, 491
   5,   1,   1,   0, 250, 200,   3,   0
   5,   0,   1,   1, 250, 200,   1, 395
   5,   0,   2,   2, 250, 200,   1, 340
   5,   1,   2,   2, 250, 150,   4, 409
   5,   1,   2,   0, 250, 200,   3,   0
   5,   0,   2,   2, 250, 200,   1, 420
   5,   1,   2,   0, 250, 250,   3,   0
   5,   0,   2,   2, 250, 250,   1, 371
   5,   0,   2,   2, 250, 250,   1, 441
   5,   1,   2,   2, 250, 200,   4, 441
   5,   1,   2,   0, 250, 250,   3,   0
   5,   0,   2,   2, 250, 250,   1, 451
   5,   1,   2,   2, 250, 200,   4, 433
   5,   1,   2,   0, 250, 250,   3,   0
   5,   0,   2,   2, 250, 250,   1, 480
   5,   0,   1,   1, 250, 250,   1, 467
   5,   0,   1,   1, 250, 250,   1, 468
   5,   0,   1,   1, 250, 250,   1, 461
   5,   1,   1,   1, 200, 250,   4, 386
   5,   0,   1,   1, 200, 250,   1, 452
   5,   0,   1,   1, 200, 250,   1, 438
   5,   1,   2,   2, 200, 200,   4, 456
   5,   0,   1,   1, 200, 200,   1, 368
   5,   0,   2,   2, 200, 200,   1, 405
   5,   0,   2,   2, 200, 200,   1, 394
   5,   0,   2,   2, 200, 200,   1, 426
   5,   0,   2,   2, 200, 200,   1, 416
   5,   0,   2,   2, 200, 200,   1, 326
   5,   0,   2,   2, 200, 200,   1, 421
   5,   1,   1,   1, 150, 200,   4, 378
   5,   1,   2,   0, 150, 250,   3,   0
   5,   0,   1,   1, 150, 250,   1, 417
   5,   0,   1,   1, 150, 250,   1, 454
   5,   0,   1,   1, 150, 250,   1, 408
   5,   1,   1,   0, 200, 250,   3,   0
   5,   1,   2,   2, 200, 200,   4, 420
   5,   0,   2,   2, 200, 200,   1, 380
   5,   1,   1,   1, 150, 200,   4, 346
   5,   1,   1,   0, 200, 200,   3,   0
   5,   0,   1,   1, 200, 200,   1, 442
# 104,32,Male,Asian
