# Block,TrialType,Arrow,Response,leftSSD,rightSSD,ACC,RT
   1,   0,   2,   2, 200, 200,   1, 701
   1,   0,   1,   1, 200, 200,   1, 349
   1,   0,   2,   2, 200, 200,   1, 270
   1,   1,   1,   0, 250, 200,   3,   0
   1,   0,   1,   1, 250, 200,   1, 321
   1,   1,   2,   2, 250, 150,   4, 353
   1,   1,   2,   0, 250, 200,   3,   0
   1,   0,   2,   2, 250, 200,   1, 425
   1,   0,   2,   2, 250, 200,   1, 367
   1,   0,   1,   1, 250, 200,   1, 463
   1,   1,   2,   2, 250, 150,   4, 397
   1,   0,   1,   1, 250, 150,   1, 327
   1,   1,   2,   0, 250, 200,   3,   0
   1,   1,   1,   1, 200, 200,   4, 325
   1,   0,   1,   1, 200, 200,   1, 512
   1,   0,   2,   2, 200, 200,   1, 440
   1,   0,   1,   1, 200, 200,   1, 409
   1,   0,   2,   2, 200, 200,   1, 424
   1,   0,   2,   2, 200, 200,   1, 408
   1,   0,   1,   1, 200, 200,   1, 444
   1,   0,   2,   2, 200, 200,   1, 448
   1,   1,   1,   0, 250, 200,   3,   0
   1,   0,   1,   1, 250, 200,   1, 343
   1,   0,   1,   1, 250, 200,   1, 427
   1,   0,   1,   1, 250, 200,   1, 416
   1,   0,   2,   2, 250, 200,   1, 329
   1,   0,   2,   2, 250, 200,   1, 353
   1,   0,   1,   1, 250, 200,   1, 379
   1,   1,   2,   2, 250, 150,   4, 387
   1,   0,   1,   1, 250, 150,   1, 446
   1,   1,   2,   0, 250, 200,   3,   0
   1,   0,   1,   1, 250, 200,   1, 363
   1,   0,   2,   2, 250, 200,   1, 421
   1,   0,   1,   1, 250, 200,   1, 393
   1,   0,   1,   1, 250, 200,   1, 449
   1,   1,   1,   0, 300, 200,   3,   0
   1,   1,   1,   1, 250, 200,   4, 497
   1,   0,   2,   2, 250, 200,   1, 428
   1,   1,   2,   2, 250, 150,   4, 357
   1,   0,   1,   1, 250, 150,   1, 487
   1,   1,   2,   0, 250, 200,   3,   0
   1,   1,   1,   1, 200, 200,   4, 378
   1,   0,   1,   1, 200, 200,   1, 437
   1,   1,   2,   0, 200, 250,   3,   0
   1,   0,   1,   1, 200, 250,   1, 329
   1,   1,   1,   0, 250, 250,   3,   0
   1,   0,   1,   1, 250, 250,   1, 402
   1,   0,   2,   2, 250, 250,   1, 446
   1,   1,   1,   0, 300, 250,   3,   0
   1,   1,   1,   1, 250, 250,   4, 467
   1,   0,   2,   2, 250, 250,   1, 387
   1,   0,   2,   2, 250, 250,   1, 514
   1,   1,   1,   0, 300, 250,   3,   0
   1,   0,   2,   2, 300, 250,   1, 446
   1,   0,   2,   2, 300, 250,   1, 464
   1,   0,   2,   2, 300, 250,   1, 553
   1,   0,   2,   2, 300, 250,   1, 616
   1,   0,   1,   1, 300, 250,   1, 539
   1,   0,   2,   2, 300, 250,   1, 526
   1,   1,   2,   0, 300, 300,   3,   0
   2,   0,   1,   0, 300, 300,  -1,   0
   2,   0,   2,   2, 300, 300,   1, 354
   2,   0,   1,   1, 300, 300,   1, 415
   2,   1,   1,   1, 250, 300,   4, 473
   2,   1,   2,   2, 250, 250,   4, 500
   2,   1,   2,   0, 250, 300,   3,   0
   2,   0,   1,   1, 250, 300,   1, 536
   2,   0,   1,   1, 250, 300,   1, 508
   2,   1,   1,   0, 300, 300,   3,   0
   2,   0,   1,   1, 300, 300,   1, 474
   2,   1,   1,   0, 350, 300,   3,   0
   2,   0,   1,   1, 350, 300,   1, 527
   2,   0,   2,   2, 350, 300,   1, 618
   2,   0,   1,   1, 350, 300,   1, 529
   2,   1,   2,   2, 350, 250,   4, 479
   2,   0,   1,   1, 350, 250,   1, 481
   2,   0,   2,   2, 350, 250,   1, 427
   2,   0,   1,   1, 350, 250,   1, 459
   2,   0,   2,   2, 350, 250,   1, 323
   2,   1,   1,   1, 300, 250,   4, 400
   2,   0,   2,   2, 300, 250,   1, 536
   2,   1,   1,   0, 350, 250,   3,   0
   2,   0,   2,   2, 350, 250,   1, 293
   2,   0,   1,   1, 350, 250,   1, 475
   2,   0,   2,   2, 350, 250,   1, 322
   2,   1,   1,   1, 300, 250,   4, 369
   2,   0,   1,   1, 300, 250,   1, 491
   2,   0,   2,   2, 300, 250,   1, 418
   2,   1,   2,   2, 300, 200,   4, 395
   2,   0,   2,   2, 300, 200,   1, 465
   2,   1,   2,   0, 300, 250,   3,   0
   2,   0,   1,   1, 300, 250,   1, 520
   2,   0,   1,   1, 300, 250,   1, 509
   2,   0,   1,   1, 300, 250,   1, 491
   2,   0,   1,   1, 300, 250,   1, 545
   2,   1,   2,   0, 300, 300,   3,   0
   2,   0,   1,   1, 300, 300,   1, 343
   2,   0,   2,   2, 300, 300,   1, 427
   2,   1,   1,   1, 250, 300,   4, 421
   2,   0,   2,   2, 250, 300,   1, 360
   2,   0,   2,   2, 250, 300,   1, 382
   2,   0,   2,   2, 250, 300,   1, 351
   2,   1,   2,   2, 250, 250,   4,1012
   2,   1,   2,   2, 250, 200,   4, 345
   2,   0,   1,   1, 250, 200,   1, 377
   2,   0,   2,   2, 250, 200,   1, 495
   2,   0,   1,   1, 250, 200,   1, 452
   2,   0,   2,   2, 250, 200,   1, 502
   2,   0,   1,   1, 250, 200,   1, 511
   2,   1,   1,   0, 300, 200,   3,   0
   2,   0,   1,   1, 300, 200,   1, 473
   2,   0,   2,   2, 300, 200,   1, 535
   2,   0,   2,   2, 300, 200,   1, 524
   2,   1,   2,   0, 300, 250,   3,   0
   2,   0,   2,   2, 300, 250,   1, 517
   2,   1,   1,   1, 250, 250,   4, 472
   2,   0,   2,   2, 250, 250,   1, 436
   2,   1,   2,   0, 250, 300,   3,   0
   2,   1,   1,   1, 200, 300,   4, 339
   2,   0,   2,   2, 200, 300,   1, 386
   3,   0,   1,   1, 200, 300,   1, 408
   3,   0,   1,   1, 200, 300,   1, 421
   3,   0,   1,   1, 200, 300,   1, 455
   3,   0,   1,   1, 200, 300,   1, 530
   3,   1,   1,   0, 250, 300,   3,   0
   3,   1,   2,   2, 250, 250,   4, 381
   3,   0,   2,   2, 250, 250,   1, 494
   3,   0,   1,   1, 250, 250,   1, 503
   3,   0,   2,   2, 250, 250,   1, 443
   3,   0,   2,   2, 250, 250,   1, 413
   3,   0,   1,   1, 250, 250,   1, 471
   3,   0,   2,   2, 250, 250,   1, 349
   3,   0,   2,   2, 250, 250,   1, 451
   3,   1,   1,   1, 200, 250,   4, 465
   3,   1,   1,   0, 250, 250,   3,   0
   3,   0,   2,   2, 250, 250,   1, 359
   3,   1,   1,   1, 200, 250,   4, 453
   3,   0,   2,   2, 200, 250,   1, 475
   3,   0,   2,   2, 200, 250,   1, 453
   3,   1,   2,   2, 200, 200,   4, 448
   3,   0,   2,   2, 200, 200,   1, 443
   3,   0,   2,   2, 200, 200,   1, 440
   3,   1,   2,   0, 200, 250,   3,   0
   3,   0,   1,   1, 200, 250,   1, 381
   3,   0,   1,   1, 200, 250,   1, 479
   3,   0,   1,   1, 200, 250,   1, 527
   3,   1,   2,   0, 200, 300,   3,   0
   3,   1,   2,   2, 200, 250,   4, 368
   3,   0,   1,   1, 200, 250,   1, 345
   3,   1,   2,   0, 200, 300,   3,   0
   3,   0,   1,   1, 200, 300,   1, 478
   3,   0,   1,   1, 200, 300,   1, 466
   3,   0,   1,   1, 200, 300,   1, 519
   3,   0,   2,   2, 200, 300,   1, 477
   3,   1,   1,   0, 250, 300,   3,   0
   3,   0,   2,   2, 250, 300,   1, 441
   3,   0,   2,   2, 250, 300,   1, 506
   3,   0,   1,   1, 250, 300,   1, 529
   3,   1,   1,   0, 300, 300,   3,   0
   3,   0,   2,   2, 300, 300,   1, 419
   3,   0,   2,   2, 300, 300,   1, 469
   3,   1,   1,   1, 250, 300,   4, 458
   3,   1,   2,   2, 250, 250,   4, 424
   3,   0,   1,   1, 250, 250,   1, 526
   3,   1,   2,   0, 250, 300,   3,   0
   3,   0,   2,   2, 250, 300,   1, 448
   3,   1,   1,   0, 300, 300,   3,   0
   3,   1,   2,   0, 300, 350,   3,   0
   3,   1,   1,   1, 250, 350,   4, 477
   3,   0,   1,   1, 250, 350,   1, 525
   3,   0,   2,   2, 250, 350,   1, 545
   3,   1,   2,   2, 250, 300,   4, 450
   3,   0,   2,   2, 250, 300,   1, 538
   3,   1,   1,   0, 300, 300,   3,   0
   3,   0,   1,   1, 300, 300,   1, 542
   3,   0,   2,   2, 300, 300,   1, 481
   3,   0,   1,   1, 300, 300,   1, 496
   3,   0,   1,   1, 300, 300,   1, 524
   3,   0,   1,   1, 300, 300,   1, 497
   3,   0,   2,   2, 300, 300,   1, 529
   4,   0,   1,   1, 300, 300,   1, 408
   4,   0,   1,   1, 300, 300,   1, 410
   4,   0,   2,   2, 300, 300,   1, 416
   4,   1,   1,   1, 250, 300,   4, 402
   4,   0,   2,   2, 250, 300,   1, 463
   4,   0,   1,   1, 250, 300,   1, 475
   4,   1,   1,   1, 200, 300,   4, 445
   4,   1,   2,   2, 200, 250,   4, 463
   4,   0,   2,   2, 200, 250,   1, 507
   4,   0,   2,   2, 200, 250,   1, 531
   4,   1,   2,   2, 200, 200,   4, 463
   4,   1,   1,   0, 250, 200,   3,   0
   4,   0,   2,   2, 250, 200,   1, 504
   4,   0,   1,   1, 250, 200,   1, 483
   4,   0,   1,   1, 250, 200,   1, 475
   4,   0,   1,   1, 250, 200,   1, 471
   4,   0,   2,   2, 250, 200,   1, 471
   4,   0,   1,   1, 250, 200,   1, 438
   4,   1,   2,   0, 250, 250,   3,   0
   4,   1,   2,   2, 250, 200,   4, 433
   4,   1,   1,   1, 200, 200,   4, 312
   4,   0,   2,   2, 200, 200,   1, 386
   4,   1,   2,   2, 200, 150,   4, 355
   4,   0,   2,   2, 200, 150,   1, 473
   4,   1,   2,   0, 200, 200,   3,   0
   4,   1,   2,   0, 200, 250,   3,   0
   4,   0,   2,   2, 200, 250,   1, 470
   4,   0,   2,   2, 200, 250,   1, 437
   4,   1,   1,   0, 250, 250,   3,   0
   4,   0,   1,   1, 250, 250,   1, 452
   4,   0,   1,   1, 250, 250,   1, 475
   4,   0,   2,   2, 250, 250,   1, 440
   4,   0,   2,   2, 250, 250,   1, 443
   4,   0,   1,   1, 250, 250,   1, 506
   4,   0,   2,   2, 250, 250,   1, 486
   4,   0,   1,   1, 250, 250,   1, 457
   4,   1,   1,   0, 300, 250,   3,   0
   4,   1,   1,   0, 350, 250,   3,   0
   4,   0,   1,   1, 350, 250,   1, 572
   4,   0,   1,   1, 350, 250,   1, 552
   4,   0,   1,   1, 350, 250,   1, 624
   4,   0,   1,   1, 350, 250,   1, 550
   4,   0,   2,   2, 350, 250,   1, 530
   4,   0,   2,   2, 350, 250,   1, 573
   4,   1,   2,   0, 350, 300,   3,   0
   4,   1,   2,   2, 350, 250,   4, 452
   4,   0,   2,   2, 350, 250,   1, 394
   4,   0,   2,   2, 350, 250,   1, 473
   4,   1,   1,   1, 300, 250,   4, 482
   4,   1,   1,   0, 350, 250,   3,   0
   4,   0,   2,   2, 350, 250,   1, 520
   4,   0,   1,   1, 350, 250,   1, 477
   4,   0,   1,   1, 350, 250,   1, 436
   4,   0,   1,   1, 350, 250,   1, 516
   4,   0,   1,   1, 350, 250,   1, 502
   4,   1,   1,   1, 300, 250,   4, 487
   4,   1,   2,   0, 300, 300,   3,   0
   4,   0,   2,   0, 300, 300,  -1,   0
   4,   0,   2,   2, 300, 300,   1, 411
   4,   0,   1,   1, 300, 300,   1, 492
   5,   0,   2,   2, 300, 300,   1, 354
   5,   0,   2,   2, 300, 300,   1, 400
   5,   0,   1,   1, 300, 300,   1, 578
   5,   0,   2,   2, 300, 300,   1, 550
   5,   0,   2,   2, 300, 300,   1, 501
   5,   0,   1,   1, 300, 300,   1, 469
   5,   0,   2,   2, 300, 300,   1, 476
   5,   1,   2,   0, 300, 350,   3,   0
   5,   0,   1,   1, 300, 350,   1, 370
   5,   1,   2,   2, 300, 300,   4, 484
   5,   0,   1,   1, 300, 300,   1, 421
   5,   0,   2,   2, 300, 300,   1, 382
   5,   1,   2,   2, 300, 250,   4, 415
   5,   0,   1,   1, 300, 250,   1, 494
   5,   1,   1,   1, 250, 250,   4, 469
   5,   0,   1,   1, 250, 250,   1, 472
   5,   1,   1,   0, 300, 250,   3,   0
   5,   0,   2,   2, 300, 250,   1, 556
   5,   1,   2,   0, 300, 300,   3,   0
   5,   0,   1,   1, 300, 300,   1, 448
   5,   0,   2,   2, 300, 300,   1, 470
   5,   1,   1,   1, 250, 300,   4, 476
   5,   0,   2,   2, 250, 300,   1, 557
