# Block,TrialType,Arrow,Response,leftSSD,rightSSD,ACC,RT
   1,   0,   2,   2, 200, 200,   1, 337
   1,   0,   2,   2, 200, 200,   1, 337
   1,   0,   1,   1, 200, 200,   1, 306
   1,   0,   1,   1, 200, 200,   1, 420
   1,   0,   1,   1, 200, 200,   1, 491
   1,   0,   1,   1, 200, 200,   1, 489
   1,   0,   2,   2, 200, 200,   1, 469
   1,   0,   1,   1, 200, 200,   1, 480
   1,   0,   1,   1, 200, 200,   1, 512
   1,   0,   2,   2, 200, 200,   1, 420
   1,   1,   1,   0, 250, 200,   3,   0
   1,   1,   1,   1, 200, 200,   4, 513
   1,   1,   1,   0, 250, 200,   3,   0
   1,   0,   1,   1, 250, 200,   1, 445
   1,   0,   2,   2, 250, 200,   1, 555
   1,   0,   1,   1, 250, 200,   1, 351
   1,   1,   1,   0, 300, 200,   3,   0
   1,   0,   1,   1, 300, 200,   1, 462
   1,   0,   2,   2, 300, 200,   1, 456
   1,   0,   2,   2, 300, 200,   1, 450
   1,   0,   2,   2, 300, 200,   1, 427
   1,   1,   1,   0, 350, 200,   3,   0
   1,   0,   2,   2, 350, 200,   1, 582
   1,   0,   2,   2, 350, 200,   1, 554
   1,   1,   1,   1, 300, 200,   4, 422
   1,   0,   2,   2, 300, 200,   1, 469
   1,   1,   2,   0, 300, 250,   3,   0
   1,   0,   2,   2, 300, 250,   1, 446
   1,   0,   1,   1, 300, 250,   1, 522
   1,   0,   1,   1, 300, 250,   1, 391
   1,   1,   2,   0, 300, 300,   3,   0
   1,   0,   1,   1, 300, 300,   1, 422
   1,   0,   2,   2, 300, 300,   1, 441
   1,   0,   1,   1, 300, 300,   1, 573
   1,   0,   2,   2, 300, 300,   1, 456
   1,   1,   2,   2, 300, 250,   4, 362
   1,   0,   1,   1, 300, 250,   1, 578
   1,   0,   1,   1, 300, 250,   1, 686
   1,   1,   2,   0, 300, 300,   3,   0
   1,   1,   1,   1, 250, 300,   4, 351
   1,   0,   2,   2, 250, 300,   1, 454
   1,   1,   2,   0, 250, 350,   3,   0
   1,   0,   1,   1, 250, 350,   1, 366
   1,   0,   1,   1, 250, 350,   1, 380
   1,   1,   1,   1, 200, 350,   4, 328
   1,   1,   2,   0, 200, 400,   3,   0
   1,   0,   2,   2, 200, 400,   1, 391
   1,   1,   1,   0, 250, 400,   3,   0
   1,   1,   2,   2, 250, 350,   4, 437
   1,   0,   1,   1, 250, 350,   1, 379
   1,   1,   1,   1, 200, 350,   4, 369
   1,   1,   2,   2, 200, 300,   4, 492
   1,   1,   2,   0, 200, 350,   3,   0
   1,   0,   2,   2, 200, 350,   1, 586
