,SubID,GoRT,FsRT,p_stop,avgSSD,SSRTint,SSRTmean
0,101,478.7025641025641,465.82978723404256,0.51,317.0,151.36699999999996,161.7025641025641
0,102,419.17171717171715,389.0,0.5,211.5,190.04500000000002,207.67171717171715
0,103,418.7258883248731,390.4117647058824,0.49,156.5,260.9606,262.2258883248731
0,104,448.715,421.68,0.5,231.0,220.5,217.71499999999997
0,105,391.44897959183675,354.64285714285717,0.72,138.0,194.50800000000004,253.44897959183675
