# Block,TrialType,Arrow,Response,leftSSD,rightSSD,ACC,RT
   1,   0,   1,   1, 200, 200,   1, 272
   1,   0,   1,   1, 200, 200,   1, 376
   1,   0,   1,   1, 200, 200,   1, 623
   1,   0,   2,   2, 200, 200,   1, 486
   1,   0,   2,   2, 200, 200,   1, 429
   1,   1,   1,   0, 250, 200,   3,   0
   1,   1,   2,   2, 250, 150,   4, 302
   1,   0,   1,   1, 250, 150,   1, 312
   1,   0,   2,   2, 250, 150,   1, 330
   1,   1,   2,   0, 250, 200,   3,   0
   1,   0,   2,   2, 250, 200,   1, 467
   1,   0,   1,   1, 250, 200,   1, 301
   1,   0,   2,   2, 250, 200,   1, 505
   1,   0,   2,   2, 250, 200,   1, 421
   1,   0,   1,   1, 250, 200,   1, 617
   1,   0,   1,   1, 250, 200,   1, 453
   1,   1,   2,   0, 250, 250,   3,   0
   1,   1,   2,   0, 250, 300,   3,   0
   1,   1,   1,   1, 200, 300,   4, 372
   1,   0,   1,   1, 200, 300,   1, 356
   1,   1,   1,   0, 250, 300,   3,   0
   1,   0,   1,   1, 250, 300,   1, 367
   1,   0,   1,   1, 250, 300,   1, 449
   1,   0,   1,   1, 250, 300,   1, 476
   1,   1,   1,   0, 300, 300,   3,   0
   1,   0,   1,   1, 300, 300,   1, 411
   1,   1,   2,   2, 300, 250,   4, 460
   1,   0,   2,   2, 300, 250,   1, 469
   1,   0,   1,   1, 300, 250,   1, 417
   1,   0,   1,   1, 300, 250,   1, 509
   1,   0,   2,   2, 300, 250,   1, 644
   1,   0,   1,   1, 300, 250,   1, 368
   1,   1,   1,   1, 250, 250,   4, 394
   1,   1,   1,   2, 200, 250,   4, 400
   1,   1,   1,   0, 250, 250,   3,   0
   1,   0,   2,   2, 250, 250,   1, 409
   1,   0,   2,   2, 250, 250,   1, 465
   1,   0,   1,   1, 250, 250,   1, 411
   1,   0,   2,   2, 250, 250,   1, 448
   1,   1,   2,   2, 250, 200,   4, 414
   1,   0,   2,   2, 250, 200,   1, 536
   1,   0,   1,   1, 250, 200,   1, 476
   1,   0,   2,   2, 250, 200,   1, 460
   1,   0,   2,   2, 250, 200,   1, 428
   1,   1,   2,   2, 250, 150,   4, 316
   1,   0,   2,   2, 250, 150,   1, 448
   1,   0,   1,   1, 250, 150,   1, 444
   1,   1,   2,   0, 250, 200,   3,   0
   1,   0,   1,   1, 250, 200,   1, 340
   1,   1,   1,   1, 200, 200,   4, 430
   1,   0,   2,   2, 200, 200,   1, 380
   1,   0,   2,   2, 200, 200,   1, 486
   1,   1,   2,   0, 200, 250,   3,   0
   1,   0,   1,   1, 200, 250,   1, 378
   1,   0,   2,   2, 200, 250,   1, 347
   1,   1,   1,   0, 250, 250,   3,   0
   1,   1,   2,   2, 250, 200,   4, 342
   1,   1,   1,   0, 300, 200,   3,   0
   1,   0,   2,   2, 300, 200,   1, 628
   1,   0,   2,   2, 300, 200,   1, 522
   2,   0,   1,   1, 300, 200,   1, 382
   2,   0,   1,   1, 300, 200,   1, 327
   2,   0,   1,   1, 300, 200,   1, 437
   2,   0,   1,   1, 300, 200,   1, 422
   2,   0,   2,   2, 300, 200,   1, 359
   2,   1,   1,   0, 350, 200,   3,   0
   2,   0,   1,   1, 350, 200,   1, 350
   2,   1,   1,   1, 300, 200,   4, 512
   2,   1,   1,   1, 250, 200,   4, 520
   2,   0,   2,   2, 250, 200,   1, 543
   2,   0,   1,   1, 250, 200,   1, 558
   2,   0,   1,   1, 250, 200,   1, 548
   2,   0,   2,   2, 250, 200,   1, 530
   2,   0,   2,   2, 250, 200,   1, 502
   2,   1,   2,   0, 250, 250,   3,   0
   2,   0,   1,   1, 250, 250,   1, 405
   2,   0,   2,   2, 250, 250,   1, 635
   2,   1,   1,   0, 300, 250,   3,   0
   2,   0,   2,   2, 300, 250,   1, 566
   2,   0,   2,   2, 300, 250,   1, 529
   2,   0,   1,   1, 300, 250,   1, 537
   2,   0,   1,   1, 300, 250,   1, 439
   2,   0,   2,   2, 300, 250,   1, 409
   2,   1,   2,   0, 300, 300,   3,   0
   2,   0,   2,   2, 300, 300,   1, 490
