# Block,TrialType,Arrow,Response,leftSSD,rightSSD,ACC,RT
   1,   0,   2,   2, 200, 200,   1, 310
   1,   0,   1,   1, 200, 200,   1, 319
   1,   0,   2,   2, 200, 200,   1, 344
   1,   0,   1,   1, 200, 200,   1, 493
   1,   1,   2,   2, 200, 150,   4, 294
   1,   0,   1,   1, 200, 150,   1, 310
   1,   1,   2,   0, 200, 200,   3,   0
   1,   0,   2,   2, 200, 200,   1, 313
   1,   0,   1,   1, 200, 200,   1, 329
   1,   1,   1,   1, 150, 200,   4, 367
   1,   0,   1,   1, 150, 200,   1, 504
   1,   0,   2,   2, 150, 200,   1, 300
   1,   0,   2,   2, 150, 200,   1, 519
   1,   0,   1,   1, 150, 200,   1, 343
   1,   1,   1,   0, 200, 200,   3,   0
   1,   0,   1,   1, 200, 200,   1, 425
   1,   1,   2,   2, 200, 150,   4, 329
   1,   0,   2,   2, 200, 150,   1, 443
   1,   1,   1,   1, 150, 150,   4, 382
   1,   0,   2,   2, 150, 150,   1, 437
   1,   0,   1,   1, 150, 150,   1, 461
   1,   1,   1,   0, 200, 150,   3,   0
   1,   0,   2,   2, 200, 150,   1, 371
   1,   0,   2,   2, 200, 150,   1, 366
   1,   0,   2,   2, 200, 150,   1, 320
   1,   0,   2,   2, 200, 150,   1, 326
   1,   0,   1,   1, 200, 150,   1, 386
   1,   1,   1,   1, 150, 150,   4, 399
   1,   0,   1,   1, 150, 150,   1, 576
   1,   0,   1,   1, 150, 150,   1, 347
   1,   0,   2,   2, 150, 150,   1, 330
   1,   0,   2,   2, 150, 150,   1, 378
   1,   1,   1,   1, 100, 150,   4, 298
   1,   0,   1,   1, 100, 150,   1, 476
   1,   1,   1,   0, 150, 150,   3,   0
   1,   0,   2,   2, 150, 150,   1, 480
   1,   0,   1,   1, 150, 150,   1, 480
   1,   0,   2,   2, 150, 150,   1, 421
   1,   0,   2,   2, 150, 150,   1, 335
   1,   0,   1,   1, 150, 150,   1, 430
   1,   1,   2,   2, 150, 100,   4, 324
   1,   1,   2,   0, 150, 150,   3,   0
   1,   0,   1,   1, 150, 150,   1, 393
   1,   1,   2,   2, 150, 100,   4, 362
   1,   0,   1,   1, 150, 100,   1, 388
   1,   1,   1,   0, 200, 100,   3,   0
   1,   1,   2,   0, 200, 150,   3,   0
   1,   0,   1,   1, 200, 150,   1, 426
   1,   1,   2,   0, 200, 200,   3,   0
   1,   0,   1,   1, 200, 200,   1, 379
   1,   0,   1,   1, 200, 200,   1, 432
   1,   0,   2,   2, 200, 200,   1, 405
   1,   0,   2,   2, 200, 200,   1, 358
   1,   0,   2,   2, 200, 200,   1, 324
   1,   1,   2,   2, 200, 150,   4, 362
   1,   0,   2,   2, 200, 150,   1, 485
   1,   1,   1,   0, 250, 150,   3,   0
   1,   0,   1,   1, 250, 150,   1, 455
   1,   1,   2,   0, 250, 200,   3,   0
   1,   1,   1,   1, 200, 200,   4, 413
   2,   0,   1,   1, 200, 200,   1, 290
   2,   0,   2,   2, 200, 200,   1, 335
   2,   0,   1,   1, 200, 200,   1, 282
   2,   0,   2,   2, 200, 200,   1, 420
   2,   1,   1,   0, 250, 200,   3,   0
   2,   0,   2,   2, 250, 200,   1, 365
   2,   0,   2,   2, 250, 200,   1, 419
   2,   1,   2,   2, 250, 150,   4, 343
   2,   0,   1,   1, 250, 150,   1, 396
   2,   0,   1,   1, 250, 150,   1, 436
   2,   1,   2,   2, 250, 100,   4, 326
   2,   0,   1,   1, 250, 100,   1, 415
   2,   0,   1,   1, 250, 100,   1, 400
   2,   0,   2,   2, 250, 100,   1, 460
   2,   0,   1,   1, 250, 100,   1, 487
   2,   0,   2,   2, 250, 100,   1, 420
   2,   0,   2,   2, 250, 100,   1, 339
   2,   0,   2,   2, 250, 100,   1, 361
   2,   1,   1,   1, 200, 100,   4, 345
   2,   1,   1,   0, 250, 100,   3,   0
   2,   1,   2,   0, 250, 150,   3,   0
   2,   1,   1,   1, 200, 150,   4, 429
   2,   0,   1,   1, 200, 150,   1, 711
   2,   0,   2,   2, 200, 150,   1, 442
   2,   0,   2,   2, 200, 150,   1, 360
   2,   1,   2,   2, 200, 100,   4, 351
   2,   0,   2,   2, 200, 100,   1, 511
   2,   0,   1,   1, 200, 100,   1, 435
   2,   0,   1,   1, 200, 100,   1, 434
   2,   1,   1,   0, 250, 100,   3,   0
   2,   0,   2,   2, 250, 100,   1, 488
   2,   0,   2,   2, 250, 100,   1, 445
   2,   1,   2,   0, 250, 150,   3,   0
   2,   0,   1,   1, 250, 150,   1, 426
   2,   0,   2,   2, 250, 150,   1, 329
   2,   0,   1,   1, 250, 150,   1, 469
   2,   0,   1,   1, 250, 150,   1, 397
   2,   0,   1,   1, 250, 150,   1, 376
   2,   1,   2,   0, 250, 200,   3,   0
   2,   1,   2,   0, 250, 250,   3,   0
   2,   1,   1,   1, 200, 250,   4, 418
   2,   0,   2,   2, 200, 250,   1, 450
   2,   0,   2,   2, 200, 250,   1, 600
   2,   0,   2,   2, 200, 250,   1, 359
   2,   1,   2,   2, 200, 200,   4, 341
   2,   0,   1,   1, 200, 200,   1, 491
   2,   1,   1,   0, 250, 200,   3,   0
   2,   0,   1,   1, 250, 200,   1, 418
   2,   1,   1,   1, 200, 200,   4, 415
   2,   0,   1,   2, 200, 200,   0, 222
   2,   0,   1,   1, 200, 200,   1, 410
   2,   1,   2,   2, 200, 150,   4, 357
   2,   1,   1,   0, 250, 150,   3,   0
   2,   1,   2,   0, 250, 200,   3,   0
   2,   0,   1,   1, 250, 200,   1, 465
   2,   0,   2,   2, 250, 200,   1, 497
   2,   1,   1,   1, 200, 200,   4, 381
   2,   0,   1,   1, 200, 200,   1, 531
   2,   0,   2,   2, 200, 200,   1, 519
   2,   0,   2,   2, 200, 200,   1, 492
   3,   0,   1,   1, 200, 200,   1, 314
   3,   0,   1,   1, 200, 200,   1, 390
   3,   0,   1,   1, 200, 200,   1, 376
   3,   0,   2,   2, 200, 200,   1, 387
   3,   0,   1,   1, 200, 200,   1, 328
   3,   0,   1,   1, 200, 200,   1, 423
   3,   0,   2,   2, 200, 200,   1, 334
   3,   0,   2,   2, 200, 200,   1, 329
   3,   0,   2,   2, 200, 200,   1, 350
   3,   0,   2,   2, 200, 200,   1, 377
   3,   0,   1,   1, 200, 200,   1, 424
   3,   1,   2,   2, 200, 150,   4, 357
   3,   1,   1,   0, 250, 150,   3,   0
   3,   0,   1,   1, 250, 150,   1, 478
   3,   1,   1,   1, 200, 150,   4, 409
   3,   0,   1,   1, 200, 150,   1, 429
   3,   1,   2,   2, 200, 100,   4, 351
   3,   1,   1,   0, 250, 100,   3,   0
   3,   1,   1,   0, 300, 100,   3,   0
   3,   0,   1,   1, 300, 100,   1, 450
   3,   0,   1,   1, 300, 100,   1, 443
   3,   0,   2,   2, 300, 100,   1, 477
   3,   0,   2,   2, 300, 100,   1, 459
